Topic,Representation
401,"['congregations', 'congregation', 'churches', 'denominations', 'denomination', 'church', 'adherents', 'evangelical', 'brethren', 'schisms']"
402,"['skyscraper', 'tallest', 'skyscrapers', 'towers', 'tower', 'buildings', 'empire', 'building', 'landmark', 'skyline']"
403,"['consulate', 'embassy', 'suspects', 'assassination', 'consul', 'diplomatic', 'investigation', 'turkey', 'alleged', 'fiancé']"
404,"['blu', 'disc', 'discs', 'codecs', 'digital', 'optical', 'formats', 'firmware', '1080p', 'storage']"
405,"['pyramid', 'pyramids', 'pyramidion', 'excavations', 'tombs', 'necropolis', 'archaeologists', 'pharaoh', 'masonry', 'tomb']"
406,"['antibiotics', 'antibiotic', 'amoxicillin', 'penicillin', 'ampicillin', 'infections', 'antibacterial', 'infection', 'clindamycin', 'pneumoniae']"
407,"['activism', 'protest', 'protests', 'activist', 'marches', 'negro', 'riots', 'segregationist', 'segregationists', 'racism']"
408,"['bbc', 'broadcasting', 'channel', 'al', 'simulcast', 'broadcast', 'channels', 'broadcasts', 'broadcaster', 'radio']"
409,"['pharaoh', 'pharaohs', 'throne', 'heir', 'tombs', 'ancient', 'regent', 'rulers', 'deity', 'tomb']"
410,"['bombing', 'troops', 'pentagon', 'war', 'troop', '1965', '1967', 'military', '1966', 'draftees']"
411,"['municipality', 'megacity', 'located', 'niger', 'town', 'city', 'capital', 'centre', 'situated', 'airport']"
412,"['addresses', 'subnet', 'subnets', 'addressing', 'address', 'routing', 'allocated', 'notation', 'routers', 'prefixes']"
413,"['tom', 'cruise', 'screenwriter', 'tall', 'jack', 'height', 'protagonist', 'sequel', 'marine', 'novel']"
414,"['motivation', 'motivations', 'motivational', 'motivate', 'motivates', 'motivating', 'motive', 'motivators', 'motivated', 'psychological']"
415,"['deforestation', 'reforestation', 'forestry', 'forests', 'forested', 'forest', 'rainforests', 'rainforest', 'vegetation', 'agriculture']"
416,"['anesthesiologist', 'anatomy', 'neurosurgery', 'surgeon', 'cast', 'surgeons', 'physicians', 'showrunner', 'neurosurgeon', 'bailey']"
417,"['pharaoh', 'prophets', 'prophet', 'messiah', 'patriarch', 'prophecy', 'testament', 'genesis', 'famine', 'kings']"
418,"['battlefield', 'warfare', 'modern', 'gameplay', 'remastered', 'blizzard', 'consoles', 'multiplayer', 'duty', 'release']"
419,"['ancestry', 'mestizo', 'ethnic', 'ethnicity', 'natives', 'indigenous', 'mestizos', 'minorities', 'mestiza', 'multiracial']"
420,"['telegram', 'messenger', 'messaging', 'chat', 'apps', 'messages', 'chats', 'android', 'blackberry', 'app']"
421,"['penalty', 'penalties', 'fouls', 'foul', 'goaltending', 'offside', 'tackle', 'goalie', 'goaltender', 'kick']"
422,"['miss', 'pageant', 'pageants', 'pageantry', 'finalist', 'semifinalist', 'contestant', 'contests', 'competed', 'semifinalists']"
423,"['throne', 'rebelled', 'heir', 'king', 'castles', 'nobility', 'coronation', 'royal', 'rebellion', 'besieged']"
424,"['territory', 'airspace', 'blockade', 'sanctions', 'borders', 'humanitarian', 'territorial', 'occupying', 'militias', 'territories']"
425,"['jazz', 'saxophonist', 'trumpeter', 'saxophone', 'musicians', 'musician', 'orchestra', 'clarinet', '1930s', 'composers']"
426,"['stooge', 'moe', 'curly', 'comedies', 'comedians', 'comedian', 'goose', 'trio', 'cartoons', 'vaudeville']"
427,"['lichens', 'lichen', 'fungi', 'fungal', 'fungus', 'basidiomycetes', 'cyanobacteria', 'organisms', 'algae', 'cyanobacterial']"
428,"['rebels', 'overthrowing', 'generals', 'overthrow', 'coup', 'rebellion', 'communists', 'civilian', 'killings', 'kidnapped']"
429,"['races', 'race', 'racial', 'anthropologist', 'anthropologists', 'anthropology', 'anthropological', 'racism', 'ethnicity', 'ethnic']"
430,"['channel', 'channels', 'broadcasting', 'broadcasters', 'simulcast', 'broadcasts', 'broadcast', 'simulcasting', 'broadcaster', 'tv']"
431,"['prosecution', 'accused', 'bordereau', 'acquitted', 'investigation', 'convicted', '1899', 'scandal', '1894', '1896']"
432,"['missiles', 'soviets', 'missile', 'soviet', 'nuclear', 'assassination', '1963', 'communists', 'diplomatic', 'secrecy']"
433,"['1945', 'armistice', 'surrender', 'surrendered', 'soviets', 'hostilities', 'soviet', 'bombings', 'bombs', 'treaty']"
434,"['monastic', 'monastics', 'samadhi', 'monks', 'monastery', 'devotees', 'disciples', 'meditating', 'meditation', 'priest']"
435,"['colors', 'colours', 'colour', 'magenta', 'pigment', 'color', 'pigments', 'colored', 'yellowish', 'dyes']"
436,"['pipeline', 'pipelines', 'keystone', 'refinery', 'pipe', 'upstream', 'gulf', 'drilling', 'petroleum', 'rail']"
437,"['institutes', 'institute', 'universities', 'polytechnic', 'polytechnics', 'admission', 'colleges', 'university', 'courses', 'engineering']"
438,"['deepest', 'depths', 'oceanographic', 'oceanography', 'challenger', 'trench', 'depth', 'sonar', 'deep', 'dive']"
439,"['postcodes', 'postcode', 'zip', 'postal', 'addresses', 'address', 'codes', 'residents', 'postage', 'barcode']"
440,"['rockstar', 'grand', 'games', 'consoles', 'gameplay', 'edition', 'san', 'theft', 'trilogy', 'los']"
441,"['woman', 'wonder', 'goddess', 'feminist', 'goddesses', 'women', 'superhero', 'metahuman', 'comics', 'gal']"
442,"['suffrage', 'referendum', 'referendums', 'women', 'enfranchised', 'enfranchisement', 'woman', '1919', '1945', '1930']"
443,"['apartheid', 'cape', 'natal', 'protest', 'activist', 'activists', 'councillor', 'democratic', 'political', 'imprisonment']"
444,"['barristers', 'barrister', 'solicitors', 'lawyers', 'solicitor', 'lawyer', 'attorneys', 'jurists', 'attorney', 'litigation']"
445,"['scrolls', 'manuscripts', 'antiquities', 'archaeology', 'archaeological', 'scholars', 'temple', 'synagogue', 'caves', 'publication']"
446,"['slavery', 'revolution', 'slaves', 'revolt', 'colonial', 'colonies', 'abolition', 'colony', 'enslaved', 'slave']"
447,"['boxer', 'cop', 'knockout', 'fighter', 'fights', 'punches', 'middleweight', 'heavyweight', 'rematch', 'fight']"
448,"['siblings', '1963', 'assassinated', 'senator', 'youngest', 'senators', 'sister', 'father', 'assassination', 'presidential']"
449,"['ku', 'confederate', 'activists', '1868', 'whites', 'blacks', '1920s', 'bootleggers', '1925', 'infiltrate']"
450,"['bear', 'bears', 'grizzly', 'predators', 'species', 'hunters', 'endangered', 'habitats', 'hunting', 'animals']"
451,"['junta', 'detained', 'arrest', 'imprisonment', 'sentenced', 'coup', 'convicted', 'arrested', 'elections', 'minister']"
452,"['oasis', 'albums', 'concert', 'songwriter', 'album', 'guitarist', 'concerts', 'songs', 'bassist', 'band']"
453,"['darkness', 'literature', 'novelist', 'postcolonial', 'colonialism', 'novel', 'writings', 'novels', 'narrator', 'protagonist']"
454,"['currencies', 'currency', 'monetary', 'dollar', 'dollars', 'inflation', 'gold', 'bank', 'banking', 'fiat']"
455,"['musically', 'musician', 'drums', 'percussion', 'composers', 'music', 'solos', 'songs', 'musicians', 'instrumental']"
456,"['infantry', 'insurgents', 'battalion', 'platoon', 'reconnaissance', 'marines', 'regiment', 'convoy', 'corps', 'deployed']"
457,"['sesame', 'puppets', 'puppeteer', 'puppet', 'puppeteers', 'oz', 'monster', 'puppetry', 'sketches', 'frog']"
458,"['crocodiles', 'crocodile', 'alligators', 'alligator', 'reptiles', 'reptile', 'saltwater', 'crocodilians', 'freshwater', 'snouts']"
459,"['antibiotics', 'antibiotic', 'penicillin', 'antimicrobial', 'amoxicillin', 'antibacterial', 'infections', 'ampicillin', 'penicillins', 'bacterial']"
460,"['acropolis', 'excavations', 'temples', 'temple', 'archaeologists', 'sculptures', 'monument', 'statue', 'ancient', 'mausoleum']"
461,"['taxes', 'tax', 'taxation', 'taxable', 'taxed', 'income', 'revenue', 'taxpayers', 'taxpayer', 'taxing']"
462,"['manning', 'arrested', 'offenses', 'prosecutors', 'whistleblower', 'arrest', 'lawsuit', 'plea', 'hacker', 'charges']"
463,"['quantum', 'entanglement', 'entangled', 'decoherence', 'superposition', 'determinism', 'physicists', 'mathematically', 'chaotic', 'deterministic']"
464,"['sang', 'carpenter', 'carpenters', 'billboard', 'songwriter', 'oldies', 'songs', 'songwriters', 'ballads', 'singer']"
465,"['languages', 'language', 'lingua', 'creole', 'vernacular', 'bilingualism', 'linguistic', 'mandarin', 'archipelago', 'dialects']"
466,"['goddesses', 'mythological', 'goddess', 'deities', 'gods', 'worshipped', 'myths', 'deity', 'worship', 'worshippers']"
467,"['katana', 'kata', 'swords', 'sword', 'samurai', 'swordsmiths', 'swordsmanship', 'hilt', 'ninja', 'ninjas']"
468,"['haggard', 'sang', 'duets', 'ballads', 'songs', 'singer', 'gospel', 'ballad', 'song', 'lyrics']"
469,"['marathon', 'marathons', 'runners', 'runner', 'triathlon', 'raced', 'olympic', 'running', 'competitions', 'race']"
470,"['comedian', 'comedians', 'sitcom', 'sitcoms', 'comedy', 'coffee', 'episode', 'primetime', 'syndication', 'episodes']"
471,"['armament', 'panzer', 'armoured', 'tanks', 'armored', 'turret', 'panther', 'tiger', 'gun', 'ammunition']"
472,"['traditional', 'dhoti', 'sari', 'dresses', 'traditionally', 'skirts', 'garments', 'attire', 'dress', 'gowns']"
473,"['prohibition', 'alcoholism', 'alcoholic', 'alcohol', 'liquor', '1920s', 'repealed', '1920', 'repeal', 'repealing']"
474,"['lightning', 'thunderstorm', 'thunderstorms', 'storms', 'thunder', 'storm', 'clouds', 'cloud', 'tornadoes', 'plasmas']"
475,"['militants', 'temple', 'terrorists', 'militant', 'casualties', 'martyrdom', 'paramilitary', 'gurdwaras', 'soldiers', 'shrine']"
476,"['cartoons', 'tom', 'shorts', 'cartoon', 'commercials', 'productions', 'episodes', 'animator', 'theatrical', 'adventures']"
477,"['mortality', 'fertility', 'expectancy', 'population', 'births', 'deaths', '2050', 'prevalence', 'newborns', 'estimates']"
478,"['lodges', 'masonic', 'lodge', 'masons', 'masonry', 'stonemasons', 'mason', 'guilds', 'fraternity', 'membership']"
479,"['judge', 'judges', 'courtroom', 'court', 'defendants', 'judgment', 'justice', 'bailiff', 'jury', 'plaintiff']"
480,"['entrepreneurship', 'entrepreneur', 'entrepreneurial', 'entrepreneurs', 'venture', 'enterprise', 'businesses', 'business', 'opportunities', 'innovating']"
481,"['burger', 'burgers', 'hamburger', 'franchisees', 'hamburgers', 'franchises', 'franchisee', 'patties', 'franchising', 'franchise']"
482,"['folate', 'folic', 'vitamin', 'vitamins', 'supplements', 'supplement', 'supplementation', 'homocysteine', 'deficiency', 'nutrients']"
483,"['niger', 'haram', 'jihad', 'bombing', 'insurgency', 'bombings', 'attacked', 'insurgents', 'jihadists', 'militants']"
484,"['viewership', 'viewers', 'subscribers', 'channel', 'livestreaming', 'channels', 'streaming', 'twitch', 'subscriber', 'subscribed']"
485,"['1080p', 'resolution', '1080', '720p', '1080i', 'resolutions', 'pixels', 'megapixels', '720', '480i']"
486,"['units', 'metre', 'quantities', 'unit', 'kilogram', 'si', 'metric', 'measurement', 'kelvin', 'magnitudes']"
487,"['oblast', 'soviet', 'yuri', 'grandmother', 'grandparents', 'grandfather', 'grandchildren', 'granddaughter', 'paternal', 'surname']"
488,"['cricket', 'wickets', 'matches', 'umpires', 'rugby', 'ashes', 'tournament', 'tournaments', 'internationals', 'match']"
489,"['defendant', 'testify', 'prosecution', 'court', 'judge', 'deposition', 'prosecute', 'accuser', 'conviction', 'accusers']"
490,"['inventor', 'electrical', 'inventors', 'inventions', 'electricity', 'electric', 'patent', 'motors', 'patents', '1891']"
491,"['apartheid', 'natal', 'cape', 'chairperson', 'appointed', 'resigned', 'candidate', 'resignation', 'elected', 'unopposed']"
492,"['ball', 'sitcom', 'tv', '1957', 'miss', 'carol', 'sitcoms', 'vaudeville', '1951', 'starred']"
493,"['zeppelin', 'stairway', 'concert', 'lyrics', 'psychedelic', 'songs', 'concerts', 'guitarist', 'vocalist', 'led']"
494,"['negro', 'negroes', 'racial', 'whites', 'civilizing', 'afro', 'black', 'race', 'prejudiced', 'riots']"
495,"['tornado', 'tornadoes', 'storms', 'thunderstorm', 'thunderstorms', 'storm', 'winds', 'weather', 'wind', 'roofs']"
496,"['façade', 'buildings', 'architect', 'architects', 'building', 'cathedral', 'architectural', 'decoration', 'architecture', 'basilica']"
497,"['marvel', 'superhero', 'marvels', 'supervillain', 'superman', 'superpowered', 'villains', 'villain', 'powers', 'vengeance']"
498,"['murders', 'homicide', 'rapist', 'murderer', 'suspect', 'murdered', 'crimes', 'stalker', 'detective', 'killer']"
499,"['cram', 'murders', 'murdered', 'tortured', 'detectives', 'investigators', 'buried', 'strangled', 'correctional', 'raped']"
500,"['tequila', 'agave', 'distillation', 'distillery', 'liquor', 'cocktail', 'gin', 'cocktails', 'mexicana', 'mezcal']"
501,"['tennis', 'doubles', 'tournaments', 'singles', 'semifinals', 'quarterfinal', 'tournament', 'semifinal', 'championships', 'championship']"
502,"['conspiracies', 'conspiratorial', 'conspiracy', 'trafficking', 'trump', 'pedophiles', 'extremists', '8chan', '4chan', 'satanic']"
503,"['airship', 'zeppelin', 'airships', 'helium', 'flew', 'flight', 'flights', 'von', 'voyage', 'passengers']"
504,"['dubbed', 'dub', 'dubbing', 'dubs', 'castle', 'film', 'anime', 'spirited', 'sky', 'manga']"
505,"['defamation', 'libel', 'defamatory', 'slander', 'slanderous', 'harassment', 'lawsuits', 'plaintiff', 'prosecuted', 'offences']"
506,"['soprano', 'mafia', 'joey', 'carmine', 'capo', 'junior', 'sack', 'prison', 'boss', 'informant']"
507,"['eagle', 'eagles', 'vultures', 'hawk', 'birds', 'bird', 'plumage', 'geese', 'talons', 'prey']"
508,"['households', 'household', 'average', 'families', 'census', 'family', 'couples', 'unmarried', 'housing', 'median']"
509,"['taxonomic', 'genus', 'taxon', 'nomenclature', 'taxonomists', 'taxonomy', 'taxonomist', 'phylogenetic', 'subgenus', 'superfamily']"
510,"['1984', '1945', '1949', 'novelist', '1939', 'totalitarianism', 'eighty', 'wartime', 'essay', '1946']"
511,"['philosopher', 'philosophers', 'empiricism', 'philosophy', 'rationalist', 'rationalism', 'empiricist', 'philosophical', 'empiricists', 'rationalists']"
512,"['women', 'comfort', 'geisha', 'grandmothers', 'yen', 'survivors', 'brothels', 'victims', 'prostitutes', 'soldiers']"
513,"['massacre', 'massacred', 'atrocities', 'victims', '1945', 'tribunal', 'civilians', 'killed', 'wartime', 'brutality']"
514,"['internment', 'camps', 'detainees', 'camp', 'prisoners', 'interned', 'inmates', 'wartime', 'incarcerated', '1944']"
515,"['ribbons', 'ribbon', 'gallantry', 'medals', 'medal', 'decorations', 'cross', 'badges', 'decoration', 'crosses']"
516,"['tramp', 'films', 'film', 'cinema', 'cinematographer', 'filming', 'filmmaker', 'actor', '1942', '1940s']"
517,"['caves', 'cave', 'temples', 'excavation', 'shrines', 'temple', 'excavated', 'shrine', 'buddha', 'archaeological']"
518,"['jubilees', 'jubilee', 'celebrated', 'celebrations', 'celebration', 'commemorate', 'commemorative', 'anniversary', 'centennial', 'celebrate']"
519,"['chains', 'albums', 'album', 'toured', 'songs', 'jam', 'hiatus', 'concert', 'tour', 'bands']"
520,"['spice', 'concert', 'girls', 'spicy', 'debut', 'tour', 'dolls', 'singles', 'bandmates', 'pops']"
521,"['malaria', 'malarial', 'antimalarial', 'mosquito', 'mosquitoes', 'insecticides', 'pesticides', 'insecticide', 'pesticide', 'parasite']"
522,"['fertility', 'overpopulation', 'childbearing', 'adoptions', 'adoption', 'demographic', 'generations', 'infanticide', 'population', 'abortion']"
523,"['eucalyptus', 'acacia', 'rainforests', 'conifers', 'trees', 'rainforest', 'vegetation', 'shrubs', 'forests', 'forestry']"
524,"['prince', 'albums', 'album', 'duet', 'songs', 'singer', 'concert', 'duets', 'sang', 'song']"
525,"['famine', 'famines', 'genocide', 'starvation', 'starved', 'soviet', 'starving', 'deaths', 'devastation', 'hunger']"
526,"['1832', 'minister', 'peerage', 'constituency', 'exchequer', 'derby', '1835', 'chancellor', 'politician', 'parliamentary']"
527,"['vertigo', 'scenes', 'film', 'screenplay', 'films', 'cinema', 'cinéma', 'scene', 'director', 'footage']"
528,"['stark', 'thrones', 'throne', 'arya', 'wildlings', 'king', 'bran', 'wildling', 'kings', 'dragons']"
529,"['mobile', 'telecommunications', 'mobiles', 'cellular', 'handsets', 'handset', 'carriers', 'communications', 'phones', 'messaging']"
530,"['shaggy', 'voiced', 'cartoon', 'cartoons', 'voice', 'spooky', 'doo', 'ghost', 'monsters', 'scrappy']"
531,"['bear', 'bears', 'zoo', 'toy', 'pg', 'handbag', 'narrated', 'bond', 'bbc', 'gardens']"
532,"['coffeehouse', 'coffee', 'coffees', 'cafe', 'café', 'cafés', 'espresso', 'beverage', 'brewed', 'beverages']"
533,"['segregation', 'segregationist', 'segregated', 'discrimination', 'unconstitutional', 'plaintiffs', 'upheld', 'dissent', 'justice', 'lawsuit']"
534,"['poverty', 'income', 'economies', 'agriculture', 'subsistence', 'poorest', 'countries', 'economic', 'economy', 'population']"
535,"['capacitors', 'dielectrics', 'capacitor', 'capacitance', 'dielectric', 'capacitive', 'electrolytic', 'electrical', 'conductors', 'electric']"
536,"['islands', 'archipelagos', 'archipelago', 'pacific', 'island', 'oceanic', 'continents', 'mainland', 'tropical', 'continent']"
537,"['paramount', 'studios', 'corporation', 'merger', 'subsidiaries', 'productions', 'acquisition', 'acquire', 'cinema', 'films']"
538,"['iso', 'standards', 'standardization', 'organizational', 'stakeholders', 'management', 'organization', 'standardizing', 'requirements', 'documentation']"
539,"['paintings', 'painting', 'painters', 'art', 'artistic', 'writings', 'aesthetics', 'mechanisation', 'sketches', 'theorist']"
540,"['mayor', 'mayors', 'mayoral', 'municipal', 'municipalities', 'elected', 'councillors', 'elects', 'council', 'municipality']"
541,"['ethnicities', 'ethnonym', 'ethnic', 'ancestry', 'inhabitants', 'ethnicity', 'ancient', 'nomadic', 'turkey', 'ancestors']"
542,"['repeal', 'repealing', 'repealed', 'healthcare', 'uninsured', 'reform', 'insurance', 'democrats', 'bipartisan', 'subsidies']"
543,"['watchmen', 'comics', 'superhero', 'superheroes', 'vendetta', 'comic', 'writers', 'superman', 'prequel', 'novels']"
544,"['hashing', 'hash', 'hashes', 'hashed', 'tables', 'binary', 'rehashing', 'bucket', 'buckets', 'arrays']"
545,"['pistols', 'punk', 'punks', 'band', 'pistol', 'bands', 'rock', 'disco', 'bassist', 'fury']"
546,"['chef', 'chefs', 'culinary', 'kitchens', 'cook', 'restaurant', 'restaurants', 'kitchen', 'cuisine', 'cooking']"
547,"['realism', 'surrealism', 'magical', 'fiction', 'imagination', 'realistic', 'literary', 'fictitious', 'literature', 'magic']"
548,"['1793', '1789', 'revolutionaries', 'revolt', 'insurrection', 'revolutionary', 'revolution', '1794', 'royalist', '1799']"
549,"['451', 'writer', 'literature', 'writers', 'author', 'novel', 'novels', 'literary', 'fireman', 'manuscript']"
550,"['punk', 'indie', 'genre', 'genres', 'bands', 'mainstream', 'rockers', 'rock', 'subculture', 'disco']"
551,"['dances', 'dance', 'dancers', 'traditional', 'rituals', 'ritual', 'traditions', 'rhythmic', 'tribal', 'indigenous']"
552,"['gong', 'qigong', 'communist', 'china', 'adherents', 'protests', 'meditation', 'persecution', 'politburo', 'ministry']"
553,"['playlists', 'playlist', 'music', 'songs', 'podcasts', 'podcast', 'listeners', 'tracks', 'listening', 'subscriptions']"
554,"['fabrication', 'manufacturing', 'machining', 'inkjet', 'prototyping', '3d', 'printers', 'printing', 'plastics', 'metalworking']"
555,"['elections', 'election', 'electoral', 'polls', 'voters', 'referendum', 'votes', 'populism', 'ballot', 'parliamentary']"
556,"['steam', 'valve', 'platform', 'publishers', 'cloud', 'gaming', 'developers', 'games', 'sales', 'antitrust']"
557,"['orchestra', 'orchestras', 'orchestration', 'symphonies', 'symphony', 'orchestral', 'composer', 'concerto', 'concertos', 'composers']"
558,"['albums', 'songs', 'toured', '1973', '1974', 'album', 'punk', 'sane', 'vocals', 'concert']"
559,"['arsenal', 'goals', 'scored', 'footballer', 'goal', 'gunners', 'goalkeeper', 'scoring', 'goalless', 'midfielder']"
560,"['metro', 'railway', 'railways', 'transit', 'trains', 'bus', 'stations', 'station', 'train', 'fares']"
561,"['laundering', 'banking', 'trafficking', 'smuggling', 'bank', 'transactions', 'banks', 'regulations', 'crime', 'legislation']"
562,"['complement', 'binary', 'complements', 'unsigned', 'bitwise', 'subtract', 'subtraction', 'subtracting', 'decimal', 'digits']"
563,"['piazza', 'boulevard', 'della', 'buildings', 'baroque', 'skyscraper', 'thoroughfare', 'thoroughfares', 'façade', 'cafés']"
564,"['synthesizers', 'synthesizer', 'techno', 'synth', 'genres', 'trance', 'music', 'genre', 'funk', 'punk']"
565,"['sprinter', 'bolt', 'sprinters', 'olympic', 'athletics', 'athlete', 'competed', 'athletic', 'medals', 'medalist']"
566,"['condoms', 'condom', 'contraception', 'prevention', 'protection', 'unprotected', 'aids', 'vaginal', 'risks', 'intercourse']"
567,"['flags', 'flag', 'soviet', 'flagpole', 'tricolour', 'tricolor', 'emblem', 'tsar', 'swastika', 'stripes']"
568,"['kanji', 'pinyin', 'characters', 'mandarin', 'character', 'traditional', 'encoding', 'kong', 'variants', 'mainland']"
569,"['detective', 'hound', 'adventure', 'investigative', 'novels', 'novel', 'stories', 'professor', 'murders', 'fictional']"
570,"['subcontinent', 'viceroy', 'coalition', '1947', 'raj', 'delegation', 'dividing', 'independence', 'congress', '1946']"
571,"['lion', 'wardrobe', 'witch', 'chronicles', 'mythical', 'magician', 'novel', 'throne', 'beasts', 'novels']"
572,"['prix', 'qualifying', 'podium', 'laps', 'overtook', 'overtaking', 'standings', 'podiums', 'overtaken', 'scored']"
573,"['soccer', 'athlete', 'assists', 'scoring', 'olympic', 'quarterfinals', 'goals', 'quarterfinal', 'cup', 'captained']"
574,"['impeachment', 'testified', 'indictment', 'prosecutor', 'hearings', 'burglary', 'scandal', 'dean', 'prosecutors', 'investigation']"
575,"['databases', 'database', 'tables', 'schema', 'relational', 'oracle', 'queries', 'systems', 'data', 'table']"
576,"['paramount', 'animators', 'studios', 'productions', 'animation', 'fox', 'franchise', 'releases', 'studio', 'distributor']"
577,"['gear', 'presenter', 'presenters', 'viewers', 'bbc', 'tv', 'tour', 'broadcast', 'driver', 'racing']"
578,"['tricolour', 'tricolore', 'tricolor', 'flags', 'flag', '1789', '1797', '1802', '1799', 'flagpole']"
579,"['node', 'js', 'developers', 'frameworks', 'platform', 'developer', 'servers', 'server', 'scripts', 'browser']"
580,"['populism', 'populists', 'populist', 'political', 'authoritarianism', 'ideology', 'ideologies', 'socialist', 'fascism', 'democracies']"
581,"['tempo', 'tempos', 'rhythmic', 'rhythm', 'bpm', 'instrumental', 'composer', 'composers', 'melodies', 'music']"
582,"['biometric', 'authentication', 'citizenship', 'identity', 'register', 'citizen', 'identification', 'issued', 'citizens', 'privacy']"
583,"['gambling', 'gamblers', 'gambler', 'casino', 'casinos', 'gamble', 'poker', 'lottery', 'betting', 'jackpot']"
584,"['incompleteness', 'axiomatization', 'completeness', 'provability', 'consistency', 'axioms', 'theorems', 'unprovable', 'axiomatic', 'undecidable']"
585,"['logics', 'logicians', 'logic', 'semantics', 'propositional', 'inferences', 'logical', 'inference', 'reasoning', 'propositions']"
586,"['writings', 'discourses', 'discourse', 'theological', 'theologians', 'epistle', 'sermon', 'aphorisms', 'existentialist', 'philosopher']"
587,"['censorship', 'censor', 'censors', 'censored', 'forbidding', 'banning', 'uncensored', 'prohibiting', 'ban', 'screened']"
588,"['barbarian', 'serpent', 'marvel', 'comics', 'blacksmith', 'warrior', 'serpents', 'comic', 'sword', 'doom']"
589,"['uninsured', 'insurance', 'insured', 'healthcare', 'insurers', 'subsidies', 'subsidy', 'enrollment', 'coverage', 'premiums']"
590,"['privateers', 'pirates', 'pirate', 'slaves', 'enslaved', 'captives', 'piracy', 'merchants', 'ships', 'merchant']"
591,"['papillomavirus', 'cancers', 'cervical', 'warts', 'cancer', 'carcinogenic', 'chlamydia', 'infections', 'infection', 'genitals']"
592,"['satellites', 'satellite', 'constellations', 'constellation', 'orbit', 'orbiting', 'orbital', 'orbits', 'launches', 'starship']"
593,"['samurai', 'screenwriter', 'screenplay', 'screenplays', 'filmmaker', 'filmmaking', 'filmmakers', 'screenwriters', 'actor', 'films']"
594,"['hammer', 'rapper', 'rappers', 'rap', 'raps', 'album', 'funk', 'hits', 'song', 'gangsta']"
595,"['bitcoin', 'bitcoins', 'blockchain', 'cryptocurrency', 'cryptocurrencies', 'founder', 'wallet', 'creator', 'client', 'inventor']"
596,"['electronics', 'manufacturer', 'appliances', 'manufactures', 'lee', 'subsidiaries', 'mobile', 'smartphone', 'telecommunications', 'subsidiary']"
597,"['utilitarianism', 'utilitarian', 'consequentialism', 'consequentialist', 'morality', 'utility', 'virtue', 'morals', 'ethical', 'ethics']"
598,"['sitcom', 'woody', 'cast', 'primetime', 'shows', 'pubs', 'bartender', 'sam', 'finale', 'comedy']"
599,"['republics', 'soviet', 'soviets', 'oblasts', 'republic', 'seceded', 'communist', 'secession', 'secede', 'socialist']"
600,"['monarchy', 'junta', 'dictatorship', 'king', 'monarch', 'throne', 'coup', 'reign', 'democracy', 'constitutional']"
601,"['apps', 'app', 'android', 'mobile', 'downloads', 'apple', 'application', 'downloading', 'launched', 'platform']"
602,"['vampire', 'vampires', 'vampirism', 'vampiric', 'bloodlust', 'werewolves', 'supernatural', 'undead', 'folklore', 'blood']"
603,"['racism', 'racialism', 'prejudice', 'racial', 'discrimination', 'racist', 'discriminatory', 'segregation', 'race', 'stereotypes']"
604,"['twitch', 'streaming', 'stream', 'viewership', 'streams', 'streamers', 'viewers', 'streamer', 'esports', 'channel']"
605,"['glucose', 'monosaccharides', 'monosaccharide', 'polysaccharides', 'oligosaccharides', 'disaccharides', 'sugar', 'sugars', 'disaccharide', 'carbohydrates']"
606,"['sponsors', 'sponsorship', 'sponsor', 'sponsorships', 'sponsored', 'jerseys', 'sportswear', 'brand', 'logo', 'shirts']"
607,"['minister', 'ministers', 'secretary', 'elected', 'cabinet', 'parliamentary', 'resigned', 'elections', 'election', 'president']"
608,"['booth', 'assassination', 'assassinated', 'confederate', '1864', 'stabbed', 'assassinate', 'wounded', 'surrendered', 'confederacy']"
609,"['torrents', 'torrent', 'peers', 'peer', 'downloading', 'downloads', 'uploader', 'files', 'transmission', 'trackers']"
610,"['coco', 'boutiques', 'boutique', 'designers', 'cosmetics', 'designer', 'fashion', 'fashions', 'perfume', 'perfumes']"
611,"['crusades', 'crusade', 'crusaders', 'crusader', '1451', 'vassals', 'papacy', 'knights', 'mediterranean', 'nobles']"
612,"['psychometric', 'intelligence', 'assessment', 'standardized', 'scores', 'intellectual', 'tests', 'deviation', 'score', 'mental']"
613,"['prophets', 'prophet', 'prophethood', 'prophetic', 'scriptures', 'teachings', 'scripture', 'revelation', 'revelations', 'verses']"
614,"['purge', 'purges', 'gulag', 'soviet', 'purged', 'assassinations', 'executions', 'assassination', 'assassinated', 'massacres']"
615,"['politburo', 'soviet', 'perestroika', 'chairman', 'secretary', 'committee', 'yuri', 'communist', 'promoted', 'appointed']"
616,"['powertrain', 'musk', 'cars', 'motors', 'drivetrain', 'sedan', 'factory', 'car', 'vehicle', 'batteries']"
617,"['pornography', 'pornographic', 'prohibits', 'porn', 'obscene', 'prosecuted', 'offenders', 'legality', 'criminalize', 'criminalizes']"
618,"['bikers', 'angels', 'motorcycles', 'outlaws', 'motorcyclists', 'hells', 'biker', 'motorcycle', 'clubs', 'motorcyclist']"
619,"['altruism', 'ethical', 'advocated', 'moral', 'ethics', 'humanistic', 'effective', 'humanist', 'empiricism', 'experiential']"
620,"['concert', 'duet', 'concerts', 'singer', 'medley', 'performing', 'singers', 'orchestral', 'sang', 'soprano']"
